code,name,sector,theme,sector_theme,source,source_url,asof_kst
092200,디아이씨,자동차 신품 부품 제조업,자동차부품(트란스밋숀·프런트액슬·기어,자동차 신품 부품 제조업 / 자동차부품(트란스밋숀·프런트액슬·기어,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092220,KEC,반도체 제조업,반도체 제조,반도체 제조업 / 반도체 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092230,KPX홀딩스,기초 화학물질 제조업,지주회사,기초 화학물질 제조업 / 지주회사,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092300,현우산업,전자부품 제조업,인쇄회로판(PCB),전자부품 제조업 / 인쇄회로판(PCB),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092440,기신정기,특수 목적용 기계 제조업,몰드베이스·금형부품·정밀기계기구 제조,특수 목적용 기계 제조업 / 몰드베이스·금형부품·정밀기계기구 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092460,한라IMS,선박 및 보트 건조업,선용원격자동측정시스템·선용원격자동경보시스템,선박 및 보트 건조업 / 선용원격자동측정시스템·선용원격자동경보시스템,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092590,럭스피아,반도체 제조업,LED 패키지·LED 모듈,반도체 제조업 / LED 패키지·LED 모듈,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092600,앤씨앤,반도체 제조업,차량용 블랙박스·영상처리용 시스템반도체,반도체 제조업 / 차량용 블랙박스·영상처리용 시스템반도체,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092730,네오팜,기타 화학제품 제조업,생체기능성(아토피)보습제,기타 화학제품 제조업 / 생체기능성(아토피)보습제,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092780,DYP,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,자동차용 엔진 및 자동차 제조업 / 자동차엔진용 피스톤,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092790,넥스틸,1차 철강 제조업,OCTG Pipe·Line Pipe·Standard Pipe,1차 철강 제조업 / OCTG Pipe·Line Pipe·Standard Pipe,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092870,엑시콘,특수 목적용 기계 제조업,반도체 검사장비,특수 목적용 기계 제조업 / 반도체 검사장비,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
093050,LF,봉제의복 제조업,기성복·의류·잡화,봉제의복 제조업 / 기성복·의류·잡화,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
093190,빅솔론,컴퓨터 및 주변장치 제조업,POS용프린터·프린팅메카니즘,컴퓨터 및 주변장치 제조업 / POS용프린터·프린팅메카니즘,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
093240,형지엘리트,봉제의복 제조업,학생복·스포츠의류·작업복 제조,봉제의복 제조업 / 학생복·스포츠의류·작업복 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업 / 인터넷연동서비스 등",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
