ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
072130,유엔젤,KOSPI,,2.5,-6.34,141.79,4.36,10.93,22.83,8.7,0.95,흑자지속,6.99,47.85,8615.75,11937374667.0,1.227,-2.9412,45.2991,3.6663,164694513.0,0.4921,1.438,주의,BOTTOM_REBOUND
078520,에이블씨엔씨,KOSPI,,7.43,68.67,113.84,15.66,47.88,110.79,7.23,3.46,흑자지속,-3.63,44.79,134.29,35649882515.0,-24.1742,-7.1691,24.7525,6.2365,1330744935.0,1.1777,2.9197,주의,NEW_LOW
081000,일진다이아,KOSPI,,51.71,335.71,224.37,7.28,4.47,12.12,5.74,0.26,흑자전환,44.8,461.67,219.21,-267700742.0,8.2969,-2.7451,68.8889,4.0225,226059132.0,0.4243,1.6867,없음,BOTTOM_REBOUND
086280,현대글로비스,KOSPI,기타 운송관련 서비스업 / 화물운송주선·화물포장·자동차 수리,12.07,-2.33,-21.23,6.15,12.99,90.32,10.9,1.42,흑자지속,15.82,-8.13,-26.66,2500761317215.0,3.4739,6.4862,65.4545,4.5295,32926262812.0,0.9125,2.359,없음,BOTTOM_REBOUND
088980,맥쿼리인프라,KOSPI,,,,,,,,,,,,,,,-1.9038,-10.43,26.5537,1.4028,10979747990.0,0.7027,0.841,없음,SIDEWAYS_OR_UNCONFIRMED
091810,트리니티항공,KOSPI,,31.21,-43.06,-85.67,-15.05,-503.9,2311.6,,3.07,적자지속,24.3,-132.34,-170.81,171062760810.0,334.5048,267.5676,,,146346041.0,0.6241,19.4831,위험,UPTREND_PULLBACK
097950,CJ제일제당,KOSPI,,7.8,-17.91,-55.84,3.42,1.94,160.4,11.66,0.23,흑자지속,1.73,-26.22,-101.89,2481608395000.0,-4.4149,-7.7042,20.6395,2.5367,12137297968.0,0.4978,1.2558,주의,NEW_LOW
097955,CJ제일제당 우,KOSPI,,,,,,,,,,,,,,2481608395000.0,-2.352,-0.9053,37.5,1.5799,381712250.0,0.1913,0.8045,없음,NEW_LOW
100250,진양홀딩스,KOSPI,,2.74,-15.78,6293.88,2.96,35.7,51.55,1.0,0.36,흑자지속,1.18,-28.69,723.77,22954654175.0,3.6364,6.4516,60.1852,1.8562,242738567.0,0.2587,0.8105,없음,SIDEWAYS_OR_UNCONFIRMED
105560,KB금융,KOSPI,기타 금융업,-1.55,22.91,13.93,37.49,12.53,1282.56,7.61,0.95,흑자지속,,27.17,15.05,4226378000000.0,6.7827,17.4257,66.4646,3.4327,193592584724.0,0.9077,1.6865,위험,UPTREND
