basis_date,market,ticker,name,official_close,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_52w_pct,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_direction,ma20_direction,ma60_direction,ma120_direction,mean_run_days,streak_direction,streak_days,streak_change_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,sector_benchmark_ticker,sector_benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,atr14_pct,avg_daily_range_20_pct,ma20_reference,confirmed_swing_low_stop,rsi,macd,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,005830,DB손해보험,191700.0,,16.535,36.9286,4.6397,,,UPTREND,상승중,2026-06-26,2026-09-03,45.7795,-5.5665,-2.0439,-1,1,1,1,2.142857142857143,1,2,3.0091,7.6409,47.9287,1025,보험,8.0629,41.0312,4.8966,5.0648,186480.0,,,,,
2026-09-11,KOSPI,005930,삼성전자,259500.0,,8.3507,-13.2107,36.5789,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-18,25.3623,-28.4138,1.5656,1,1,-1,1,1.875,-1,2,-3.7106,-0.5434,-2.2106,1013,전기전자,-6.6081,0.5801,5.5914,4.2082,262800.0,,,,,
2026-09-11,KOSPI,005935,삼성전자우,193300.0,,7.2697,-0.1034,39.1649,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-25,28.0132,-17.7447,0.8873,1,1,-1,1,1.7647058823529411,-1,1,-4.7783,-1.6244,10.8967,1013,전기전자,-7.6891,13.6874,5.6227,4.7276,192365.0,,,,,
2026-09-11,KOSPI,006110,삼아알미늄,59800.0,,16.5692,-0.3333,101.6863,,,TOP_DECLINE,고점후하락,2026-07-29,2026-08-31,121.4815,-16.3636,-12.9549,-1,1,1,1,2.2222222222222223,-1,2,-11.0119,7.6751,10.6668,1011,금속,18.3007,3.5871,10.3886,10.8423,62467.5,,,,,
2026-09-11,KOSPI,006220,제주은행,10350.0,,11.1708,-15.6479,-25.1085,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-16,25.4545,-16.0584,2.7805,-1,1,-1,-1,2.142857142857143,1,2,3.8114,2.2767,-4.6478,1021,금융,5.2193,-14.1519,4.1131,4.5928,9749.5,,,,,
2026-09-11,KOSPI,006260,LS,319500.0,,-0.9302,-14.4578,26.5347,,,EARLY_REBOUND_UNCONFIRMED,초기반등·확인부족,2026-07-30,2026-06-17,42.953,-26.2125,6.6778,1,-1,-1,1,2.2222222222222223,-1,2,-3.1818,-9.8243,-3.4577,1021,금융,-6.8817,-12.9618,7.4444,6.5503,310450.0,,,,,
2026-09-11,KOSPI,006360,GS건설,38500.0,,10.7914,46.9466,80.3279,,,UPTREND,상승중,2026-07-29,2026-09-11,73.4234,0.0,12.4088,1,1,1,1,2,1,7,19.3798,1.8973,57.9467,1018,건설,-2.6652,37.0154,6.6376,6.9002,35275.0,,,,,
2026-09-11,KOSPI,006370,대구백화점,3200.0,,-31.1828,-35.6784,-29.9014,,,NEW_LOW,최근 신저점,2026-09-11,2026-07-16,0.0,-45.4855,-10.6145,-1,-1,-1,-1,1.8181818181818181,-1,3,-7.1118,-40.0769,-24.6783,1016,유통,-33.0417,-22.5159,10.7812,9.0675,3982.75,,,,,
2026-09-11,KOSPI,006380,카프로,120.0,,-96.7213,-96.7213,-96.7213,,,NEW_LOW,최근 신저점,2026-09-11,2026-09-07,0.0,-96.7213,-96.7213,-1,-1,-1,-1,4,-1,4,-96.7213,-105.6154,-85.7212,1008,화학,-98.9891,-98.4226,,,2957.8,,,,,
2026-09-11,KOSPI,006400,삼성SDI,545000.0,,18.6072,9.328,36.25,,,UPTREND_PULLBACK,상승중 눌림,2026-07-30,2026-08-31,52.0223,-5.5459,-0.5474,-1,1,1,1,1.7142857142857142,-1,2,-5.0523,9.7131,20.3281,1013,전기전자,3.6484,23.1188,5.6464,5.5383,534025.0,,,,,
2026-09-11,KOSPI,006490,프리티,2390.0,,166.147,704.7138,403.1579,,,UPTREND,상승중,2026-06-19,2026-09-11,788.4758,0.0,166.147,1,1,1,1,4.285714285714286,1,2,166.147,157.2529,715.7139,1020,통신,164.229,713.8617,,,1019.7,,,,,
2026-09-11,KOSPI,006650,대한유화,102200.0,,13.6819,-15.4673,-23.6173,,,BOTTOM_REBOUND,저점반등,2026-08-21,2026-06-15,27.2727,-27.7739,5.6877,1,1,-1,-1,2.2222222222222223,-1,2,-7.3436,4.7878,-4.4672,1008,화학,11.4141,-17.1686,6.5609,6.4512,92660.0,,,,,
2026-09-11,KOSPI,006800,미래에셋증권,33450.0,,-5.7746,-34.5401,-53.1513,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-12,10.7616,-36.0421,-2.9028,1,-1,-1,-1,1.6666666666666667,-1,2,-4.5649,-14.6687,-23.54,1024,증권,-0.5239,-11.0705,5.2997,3.6651,35082.5,,,,,
2026-09-11,KOSDAQ,007390,네이처셀,25100.0,,7.265,-22.0497,34.3683,,,BOTTOM_REBOUND,저점반등,2026-08-03,2026-06-17,18.6761,-22.0497,4.8017,1,1,-1,1,1.6216216216216217,-1,1,-1.5686,-1.6291,-11.0496,,,,,6.1894,6.3387,24400.0,,,,,
