basis_date,market,ticker,name,return_1w_pct,return_1w_start_date,return_1w_status,return_6m_pct,return_6m_start_date,return_6m_status,return_ytd_pct,return_ytd_start_date,return_ytd_status,return_52w_pct,return_52w_start_date,return_52w_status
2026-09-11,KOSPI,042700,한미반도체,0.4348,2026-09-04,OK,-26.08,2026-03-11,OK,81.3187,2025-12-30,OK,154.1254,2025-09-12,OK
2026-09-11,KOSPI,044380,주연테크,-40.1388,2026-09-04,OK,69.1877,2026-03-11,OK,40.1392,2025-12-30,OK,16.8279,2025-09-12,OK
2026-09-11,KOSPI,047040,대우건설,18.0415,2026-09-04,OK,99.8995,2026-03-11,OK,420.6806,2025-12-30,OK,424.8021,2025-09-12,OK
2026-09-11,KOSPI,047050,포스코인터내셔널,5.4845,2026-09-04,OK,-24.4764,2026-03-11,OK,16.3306,2025-12-30,OK,14.7117,2025-09-12,OK
2026-09-11,KOSPI,047810,한국항공우주,3.1621,2026-09-04,OK,-25.5986,2026-03-11,OK,14.0734,2025-12-30,OK,31.6852,2025-09-12,OK
2026-09-11,KOSPI,051905,LG생활건강우,-1.8957,2026-09-04,OK,-3.8997,2026-03-11,OK,-8.7302,2025-12-30,OK,-13.8935,2025-09-12,OK
2026-09-11,KOSPI,051910,LG화학,-3.1915,2026-09-04,OK,-13.4707,2026-03-11,OK,-18.018,2025-12-30,OK,-5.8621,2025-09-12,OK
2026-09-11,KOSPI,052690,한전기술,41.2639,2026-09-04,OK,-3.4307,2026-03-11,OK,68.8889,2025-12-30,OK,69.4537,2025-09-12,OK
2026-09-11,KOSPI,055550,신한지주,2.3572,2026-09-04,OK,23.9297,2026-03-11,OK,46.814,2025-12-30,OK,62.9149,2025-09-12,OK
2026-09-11,KOSPI,058730,다스코,-8.5517,2026-09-04,OK,3.9185,2026-03-11,OK,-0.8969,2025-12-30,OK,10.8696,2025-09-12,OK
2026-09-11,KOSPI,058860,KTis,-1.1605,2026-09-04,OK,-9.0747,2026-03-11,OK,-5.8932,2025-12-30,OK,-10.3509,2025-09-12,OK
2026-09-11,KOSDAQ,060250,NHN KCP,-8.1167,2026-09-04,OK,-26.222,2026-03-11,OK,-2.8169,2025-12-30,OK,2.766,2025-09-12,OK
2026-09-11,KOSDAQ,060370,LS마린솔루션,4.5307,2026-09-04,OK,14.7425,2026-03-11,OK,7.8464,2025-12-30,OK,35.4298,2025-09-12,OK
2026-09-11,KOSPI,062040,산일전기,3.5994,2026-09-04,OK,37.5346,2026-03-11,OK,52.6518,2025-12-30,OK,68.3051,2025-09-12,OK
2026-09-11,KOSPI,063160,종근당바이오,-4.5455,2026-09-04,OK,-33.2308,2026-03-11,OK,-36.0197,2025-12-30,OK,-44.7134,2025-09-12,OK
2026-09-11,KOSDAQ,064260,다날,-4.2308,2026-09-04,OK,-33.6,2026-03-11,OK,-30.8333,2025-12-30,OK,-45.8696,2025-09-12,OK
2026-09-11,KOSPI,064350,현대로템,-2.1293,2026-09-04,OK,-38.867,2026-03-11,OK,-33.9542,2025-12-30,OK,-42.2791,2025-09-12,OK
2026-09-11,KOSPI,064400,LG씨엔에스,-2.969,2026-09-04,OK,9.2705,2026-03-11,OK,17.101,2025-12-30,OK,-0.5533,2025-09-12,OK
