ticker,종목,corp_code,rcept_no,report_nm,rcept_dt,report_status,document_status,sector_proxy,export_mentions,fx_asset_mentions,fx_liab_mentions,hedge_mentions,import_mentions,order_mentions,sensitivity_mentions,overseas_revenue_pct,hedge_pct_proxy,text_length,공시신뢰도,confidence_reason,dollar_sales_score,won_cost_score,hedge_score,foreign_debt_score,import_cost_score,earnings_score,technical_score,risk_score,backlog_bonus,sensitivity_bonus,fx_net_benefit_score
007070,GS리테일,00140177,20260311004487,사업보고서 (2025.12),20260311,OK,OK,기타,110,66,0,290,3730,0,43,,,768325,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,8.0,3.0,8.0,10.0,5.0,0.0,5.0,59.25
078935,GS우,,,,,NO_CORP_CODE,OK,기타,0,0,0,0,0,0,0,,,0,D,DART 고유번호 매칭 실패,6.25,6.0,11.0,8.0,5.5,8.0,10.0,5.0,0.0,0.0,59.75
499790,GS피앤엘,01882845,20260311003399,사업보고서 (2025.12),20260311,OK,OK,기타,67,6,0,21,1361,0,12,15.7,,327314,B,주석 수치 일부와 환율노출 키워드 확인,3.92,6.0,8.0,8.0,3.0,8.0,7.0,5.0,0.0,5.0,53.92
012630,HDC,00164636,20260318001262,사업보고서 (2025.12),20260318,OK,OK,기타,90,136,1,228,3863,74,123,70.0,10.0,781425,A,주석에서 환율노출 관련 수치 다수 확인,17.5,6.0,13.5,7.0,3.0,8.0,8.0,5.0,5.0,5.0,78.0
039570,HDC랩스,00350312,20260318001288,사업보고서 (2025.12),20260318,OK,OK,기타,9,13,0,95,2256,35,59,,,485036,C,보고서 텍스트 단서와 산업 프록시 중심,6.25,6.0,8.0,8.0,3.0,8.0,10.0,5.0,5.0,5.0,64.25
089470,HDC현대EP,00357935,20260318001209,사업보고서 (2025.12),20260318,OK,OK,기타,111,263,38,295,1972,4,104,75.0,,473525,A,주석에서 환율노출 관련 수치 다수 확인,18.75,6.0,8.0,7.0,3.0,8.0,8.0,5.0,1.6,5.0,70.35
267270,HD건설기계,01205842,20260602000456,[기재정정]사업보고서 (2025.12),20260602,OK,OK,기타,370,282,44,811,2658,49,141,91.4,3.84,759864,A,주석에서 환율노출 관련 수치 다수 확인,22.85,6.0,14.42,7.0,3.0,8.0,10.0,5.0,5.0,5.0,86.27
009540,HD한국조선해양,00164830,20260320001032,사업보고서 (2025.12),20260320,OK,OK,조선,158,206,12,643,2635,345,176,100.0,,644093,B,주석 수치 일부와 환율노출 키워드 확인,25.0,11.25,8.0,7.0,4.0,8.0,10.0,2.0,5.0,5.0,85.25
267250,HD현대,01205709,20260320000872,사업보고서 (2025.12),20260320,OK,OK,기타,464,362,23,886,3594,544,169,93.0,3.8,904510,A,주석에서 환율노출 관련 수치 다수 확인,23.25,6.0,14.43,7.0,3.0,8.0,8.0,5.0,5.0,5.0,84.68
443060,HD현대마린솔루션,01194689,20260316001512,사업보고서 (2025.12),20260316,OK,OK,기타,105,218,8,784,1797,355,163,100.0,,494562,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,8.0,7.0,3.0,8.0,7.0,5.0,5.0,5.0,79.0
